dynamic_braking[kN]:,vitesse[km/h]:-5,vitesse[km/h]:0,vitesse[km/h]:5,vitesse[km/h]:10,vitesse[km/h]:15,vitesse[km/h]:20,vitesse[km/h]:25,vitesse[km/h]:30,vitesse[km/h]:35,vitesse[km/h]:40,vitesse[km/h]:45,vitesse[km/h]:50,vitesse[km/h]:55,vitesse[km/h]:60,vitesse[km/h]:65,vitesse[km/h]:70,vitesse[km/h]:75,vitesse[km/h]:80,vitesse[km/h]:85,vitesse[km/h]:90,vitesse[km/h]:95,vitesse[km/h]:100
consigne[%]:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consigne[%]:1,7.874,7.874,7.874,5.629,7.539,25.823,26.649,26.359,26.289,28.095,31.343,35.264,38.064,27.644,26.822,25.638,24.132,23.804,22.418,20.679,20.127,19.636
consigne[%]:2,8.755,8.755,8.755,6.492,8.601,26.755,27.481,27.421,27.363,28.788,31.734,35.542,37.811,28.137,27.102,25.967,24.488,23.869,22.433,20.705,20.1,19.661
consigne[%]:3,9.719,9.719,9.719,7.449,9.751,27.784,28.411,28.615,28.593,29.568,32.206,35.831,37.504,28.731,27.453,26.31,24.834,23.956,22.457,20.726,20.073,19.705
consigne[%]:4,10.682,10.682,10.682,8.424,10.876,28.818,29.359,29.833,29.887,30.377,32.738,36.094,37.156,29.401,27.863,26.651,25.138,24.065,22.492,20.737,20.048,19.775
consigne[%]:5,11.567,11.567,11.567,9.35,11.878,29.763,30.247,30.945,31.143,31.162,33.303,36.3,36.784,30.109,28.311,26.984,25.373,24.194,22.534,20.734,20.03,19.873
consigne[%]:6,12.337,12.337,12.337,10.193,12.706,30.554,31.011,31.837,32.266,31.884,33.867,36.434,36.411,30.81,28.767,27.306,25.531,24.332,22.581,20.719,20.018,19.996
consigne[%]:7,13.007,13.007,13.007,10.971,13.373,31.161,31.621,32.43,33.192,32.535,34.399,36.5,36.059,31.464,29.199,27.614,25.615,24.468,22.628,20.696,20.008,20.13
consigne[%]:8,13.64,13.64,13.64,11.747,13.959,31.594,32.074,32.706,33.89,33.125,34.872,36.524,35.754,32.036,29.573,27.898,25.637,24.588,22.671,20.674,19.996,20.25
consigne[%]:9,14.326,14.326,14.326,12.604,14.571,31.89,32.39,32.713,34.365,33.67,35.264,36.539,35.515,32.503,29.86,28.138,25.619,24.677,22.706,20.659,19.976,20.33
consigne[%]:10,15.151,15.151,15.151,13.625,15.317,32.092,32.599,32.546,34.646,34.176,35.565,36.582,35.36,32.861,30.045,28.309,25.582,24.727,22.727,20.658,19.948,20.346
consigne[%]:11,16.172,16.172,16.172,14.86,16.268,32.242,32.728,32.324,34.772,34.636,35.776,36.674,35.293,33.119,30.128,28.396,25.546,24.734,22.735,20.673,19.919,20.287
consigne[%]:12,17.405,17.405,17.405,16.322,17.45,32.366,32.803,32.149,34.782,35.028,35.905,36.826,35.317,33.295,30.131,28.399,25.524,24.705,22.735,20.705,19.902,20.161
consigne[%]:13,18.832,18.832,18.832,17.985,18.845,32.483,32.843,32.084,34.709,35.331,35.974,37.033,35.424,33.411,30.09,28.338,25.524,24.655,22.737,20.756,19.918,19.998
consigne[%]:14,20.41,20.41,20.41,19.805,20.405,32.602,32.863,32.148,34.58,35.531,36.008,37.278,35.609,33.484,30.045,28.248,25.551,24.606,22.763,20.83,19.991,19.847
consigne[%]:15,22.094,22.094,22.094,21.724,22.076,32.727,32.875,32.325,34.417,35.631,36.033,37.543,35.866,33.525,30.027,28.166,25.608,24.587,22.841,20.938,20.152,19.775
consigne[%]:16,23.841,23.841,23.841,23.694,23.804,32.863,32.89,32.58,34.241,35.647,36.07,37.801,36.188,33.535,30.048,28.117,25.704,24.631,23.002,21.097,20.428,19.852
consigne[%]:17,25.621,25.621,25.621,25.67,25.548,33.015,32.92,32.877,34.072,35.606,36.124,38.028,36.56,33.515,30.099,28.109,25.85,24.766,23.279,21.336,20.847,20.143
consigne[%]:18,27.413,27.413,27.413,27.62,27.275,33.19,32.976,33.185,33.93,35.536,36.186,38.197,36.955,33.466,30.156,28.137,26.061,25.014,23.693,21.684,21.425,20.688
consigne[%]:19,29.208,29.208,29.208,29.519,28.962,33.394,33.067,33.484,33.833,35.459,36.235,38.286,37.328,33.394,30.199,28.197,26.347,25.383,24.248,22.169,22.162,21.493
consigne[%]:20,30.999,30.999,30.999,31.352,30.596,33.633,33.2,33.763,33.792,35.392,36.247,38.278,37.623,33.319,30.227,28.296,26.716,25.869,24.932,22.808,23.045,22.529
consigne[%]:21,32.784,32.784,32.784,33.113,32.17,33.908,33.379,34.016,33.813,35.342,36.207,38.169,37.79,33.266,30.264,28.459,27.171,26.459,25.715,23.603,24.048,23.737
consigne[%]:22,34.563,34.563,34.563,34.806,33.687,34.218,33.601,34.244,33.894,35.311,36.116,37.966,37.796,33.262,30.353,28.722,27.719,27.133,26.563,24.539,25.146,25.046
consigne[%]:23,36.335,36.335,36.335,36.44,35.152,34.557,33.862,34.452,34.027,35.296,35.992,37.689,37.642,33.324,30.546,29.12,28.369,27.88,27.445,25.591,26.314,26.394
consigne[%]:24,38.102,38.102,38.102,38.03,36.573,34.919,34.154,34.649,34.205,35.296,35.86,37.368,37.365,33.456,30.882,29.679,29.133,28.694,28.347,26.732,27.537,27.737
consigne[%]:25,39.863,39.863,39.863,39.591,37.953,35.295,34.473,34.848,34.422,35.309,35.75,37.037,37.03,33.658,31.381,30.403,30.025,29.583,29.271,27.941,28.803,29.054
consigne[%]:26,41.618,41.618,41.618,41.137,39.288,35.682,34.819,35.064,34.679,35.338,35.682,36.734,36.72,33.933,32.04,31.284,31.047,30.559,30.232,29.199,30.101,30.34
consigne[%]:27,43.364,43.364,43.364,42.676,40.566,36.075,35.197,35.315,34.984,35.389,35.67,36.5,36.524,34.302,32.845,32.299,32.189,31.636,31.251,30.496,31.42,31.6
consigne[%]:28,45.099,45.099,45.099,44.216,41.767,36.473,35.616,35.623,35.352,35.471,35.721,36.38,36.517,34.799,33.779,33.424,33.427,32.818,32.339,31.822,32.747,32.842
consigne[%]:29,46.817,46.817,46.817,45.762,42.871,36.874,36.087,36.006,35.799,35.594,35.84,36.421,36.753,35.464,34.827,34.63,34.725,34.096,33.5,33.172,34.07,34.074
consigne[%]:30,48.517,48.517,48.517,47.315,43.862,37.278,36.619,36.48,36.339,35.763,36.031,36.671,37.255,36.32,35.973,35.887,36.051,35.444,34.721,34.537,35.38,35.302
consigne[%]:31,50.198,50.198,50.198,48.876,44.733,37.687,37.214,37.05,36.977,35.983,36.299,37.175,38.011,37.364,37.198,37.168,37.371,36.827,35.986,35.912,36.672,36.526
consigne[%]:32,51.86,51.86,51.86,50.445,45.492,38.101,37.87,37.712,37.708,36.253,36.662,37.96,38.987,38.567,38.47,38.451,38.663,38.201,37.277,37.292,37.945,37.75
consigne[%]:33,53.503,53.503,53.503,52.018,46.156,38.522,38.581,38.454,38.521,36.571,37.146,39.028,40.136,39.884,39.753,39.716,39.912,39.534,38.579,38.672,39.202,38.974
consigne[%]:34,55.128,55.128,55.128,53.588,46.751,38.955,39.338,39.261,39.4,36.935,37.789,40.347,41.408,41.26,41.013,40.954,41.112,40.804,39.882,40.048,40.445,40.197
consigne[%]:35,56.732,56.732,56.732,55.147,47.305,39.41,40.138,40.122,40.337,37.357,38.638,41.857,42.763,42.646,42.228,42.159,42.263,42.006,41.179,41.414,41.679,41.421
consigne[%]:36,58.306,58.306,58.306,56.677,47.842,39.906,40.986,41.035,41.329,37.857,39.733,43.479,44.166,43.995,43.388,43.33,43.371,43.148,42.464,42.765,42.908,42.644
consigne[%]:37,59.837,59.837,59.837,58.161,48.386,40.467,41.894,42.006,42.386,38.474,41.095,45.139,45.587,45.273,44.503,44.469,44.447,44.247,43.734,44.096,44.134,43.868
