indirect_braking[kN]:,vitesse[km/h]:-5.0,vitesse[km/h]:0.0,vitesse[km/h]:5.0,vitesse[km/h]:10.0,vitesse[km/h]:15.0,vitesse[km/h]:20.0,vitesse[km/h]:25.0,vitesse[km/h]:30.0,vitesse[km/h]:35.0,vitesse[km/h]:40.0,vitesse[km/h]:45.0,vitesse[km/h]:50.0,vitesse[km/h]:55.0,vitesse[km/h]:60.0,vitesse[km/h]:65.0,vitesse[km/h]:70.0,vitesse[km/h]:75.0,vitesse[km/h]:80.0,vitesse[km/h]:85.0,vitesse[km/h]:90.0,vitesse[km/h]:95.0,vitesse[km/h]:100.0
RE[bar]:3.5,73.155,73.155,73.155,71.574,69.98,68.531,67.325,66.387,65.682,65.158,64.773,64.492,64.266,64.009,63.6,62.918,61.889,60.532,58.969,57.388,55.975,54.859
RE[bar]:3.515,72.859,72.859,72.859,71.291,69.711,68.275,67.082,66.152,65.451,64.928,64.538,64.247,64.006,63.731,63.305,62.611,61.581,60.235,58.694,57.142,55.76,54.67
RE[bar]:3.53,72.534,72.534,72.534,70.978,69.413,67.992,66.811,65.89,65.195,64.673,64.278,63.977,63.72,63.425,62.981,62.274,61.242,59.908,58.392,56.872,55.523,54.462
RE[bar]:3.545,72.18,72.18,72.18,70.638,69.087,67.681,66.513,65.603,64.914,64.393,63.994,63.682,63.409,63.094,62.629,61.909,60.876,59.555,58.065,56.579,55.266,54.236
RE[bar]:3.56,71.799,71.799,71.799,70.271,68.735,67.344,66.189,65.29,64.609,64.09,63.687,63.365,63.074,62.738,62.253,61.519,60.484,59.178,57.716,56.267,54.991,53.994
RE[bar]:3.575,71.395,71.395,71.395,69.88,68.359,66.982,65.841,64.953,64.28,63.764,63.358,63.026,62.718,62.36,61.854,61.106,60.07,58.78,57.348,55.937,54.701,53.738
RE[bar]:3.59,70.969,70.969,70.969,69.467,67.96,66.596,65.469,64.593,63.929,63.417,63.009,62.667,62.343,61.963,61.436,60.674,59.639,58.365,56.964,55.594,54.399,53.471
RE[bar]:3.605,70.526,70.526,70.526,69.035,67.54,66.19,65.075,64.211,63.556,63.05,62.642,62.291,61.95,61.549,61.001,60.227,59.192,57.936,56.569,55.239,54.087,53.195
RE[bar]:3.62,70.068,70.068,70.068,68.587,67.103,65.764,64.661,63.809,63.164,62.664,62.256,61.898,61.543,61.122,60.553,59.767,58.734,57.497,56.164,54.877,53.767,52.911
RE[bar]:3.635,69.599,69.599,69.599,68.126,66.651,65.322,64.229,63.387,62.752,62.26,61.855,61.491,61.122,60.682,60.095,59.297,58.268,57.052,55.754,54.51,53.442,52.623
RE[bar]:3.65,69.12,69.12,69.12,67.654,66.185,64.864,63.78,62.948,62.324,61.84,61.438,61.071,60.69,60.232,59.628,58.822,57.798,56.603,55.341,54.14,53.114,52.33
RE[bar]:3.665,68.636,68.636,68.636,67.173,65.709,64.392,63.315,62.492,61.878,61.404,61.007,60.638,60.247,59.774,59.155,58.341,57.324,56.153,54.926,53.768,52.784,52.035
RE[bar]:3.68,68.147,68.147,68.147,66.686,65.223,63.909,62.836,62.021,61.417,60.952,60.562,60.193,59.794,59.308,58.677,57.858,56.85,55.702,54.512,53.395,52.453,51.737
RE[bar]:3.695,67.656,67.656,67.656,66.194,64.73,63.415,62.345,61.535,60.94,60.486,60.103,59.736,59.332,58.836,58.195,57.374,56.375,55.252,54.098,53.024,52.12,51.438
RE[bar]:3.71,67.164,67.164,67.164,65.699,64.23,62.912,61.841,61.035,60.448,60.005,59.631,59.267,58.86,58.357,57.709,56.888,55.902,54.805,53.687,52.653,51.788,51.136
RE[bar]:3.725,66.672,66.672,66.672,65.201,63.725,62.401,61.327,60.523,59.942,59.509,59.145,58.787,58.379,57.871,57.22,56.402,55.43,54.359,53.278,52.283,51.454,50.832
RE[bar]:3.74,66.18,66.18,66.18,64.701,63.216,61.882,60.802,59.997,59.423,58.998,58.644,58.293,57.888,57.379,56.727,55.914,54.959,53.916,52.871,51.914,51.121,50.527
RE[bar]:3.755,65.689,65.689,65.689,64.2,62.703,61.357,60.268,59.46,58.889,58.474,58.13,57.787,57.387,56.879,56.229,55.426,54.489,53.475,52.466,51.547,50.788,50.221
RE[bar]:3.77,65.197,65.197,65.197,63.697,62.186,60.825,59.725,58.912,58.342,57.935,57.602,57.269,56.874,56.371,55.727,54.935,54.02,53.036,52.063,51.182,50.457,49.915
RE[bar]:3.785,64.706,64.706,64.706,63.193,61.665,60.288,59.174,58.353,57.783,57.382,57.059,56.737,56.351,55.855,55.22,54.443,53.55,52.599,51.663,50.819,50.126,49.61
RE[bar]:3.8,64.214,64.214,64.214,62.687,61.141,59.745,58.614,57.783,57.212,56.816,56.503,56.192,55.816,55.33,54.707,53.947,53.081,52.163,51.265,50.459,49.798,49.307
RE[bar]:3.815,63.72,63.72,63.72,62.178,60.613,59.197,58.048,57.205,56.629,56.237,55.934,55.634,55.27,54.796,54.188,53.449,52.611,51.728,50.869,50.101,49.474,49.007
RE[bar]:3.83,63.225,63.225,63.225,61.667,60.082,58.643,57.474,56.617,56.035,55.646,55.352,55.064,54.714,54.254,53.663,52.947,52.139,51.293,50.475,49.746,49.152,48.711
