traction[kN]:,vitesse[km/h]:-5,vitesse[km/h]:0,vitesse[km/h]:5,vitesse[km/h]:10,vitesse[km/h]:15,vitesse[km/h]:20,vitesse[km/h]:25,vitesse[km/h]:30,vitesse[km/h]:35,vitesse[km/h]:40,vitesse[km/h]:45,vitesse[km/h]:50,vitesse[km/h]:55,vitesse[km/h]:60,vitesse[km/h]:65,vitesse[km/h]:70,vitesse[km/h]:75,vitesse[km/h]:80,vitesse[km/h]:85,vitesse[km/h]:90,vitesse[km/h]:95,vitesse[km/h]:100
consigne[%]:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consigne[%]:1,16.787,16.787,16.787,12.965,7.443,3.121,1.703,2.709,4.182,5.503,6.566,6.798,6.706,7.501,8.066,7.798,7.487,7.123,6.261,5.882,5.904,5.524
consigne[%]:2,18.827,18.827,18.827,14.693,9.028,4.709,3.28,4.23,5.638,6.903,7.926,8.142,8.038,8.792,9.289,8.949,8.563,8.127,7.195,6.742,6.69,6.259
consigne[%]:3,21.311,21.311,21.311,16.801,10.965,6.649,5.209,6.09,7.418,8.614,9.587,9.784,9.667,10.369,10.784,10.354,9.878,9.353,8.336,7.792,7.651,7.157
consigne[%]:4,24.159,24.159,24.159,19.224,13.198,8.888,7.434,8.236,9.472,10.587,11.504,11.678,11.545,12.188,12.51,11.976,11.395,10.768,9.653,9.005,8.76,8.194
consigne[%]:5,27.263,27.263,27.263,21.88,15.653,11.353,9.883,10.598,11.734,12.76,13.615,13.764,13.614,14.192,14.409,13.762,13.065,12.326,11.103,10.34,9.982,9.335
consigne[%]:6,30.511,30.511,30.511,24.679,18.258,13.97,12.485,13.108,14.135,15.068,15.857,15.979,15.811,16.319,16.427,15.659,14.839,13.981,12.643,11.758,11.279,10.547
consigne[%]:7,33.807,33.807,33.807,27.548,20.949,16.68,15.179,15.706,16.623,17.458,18.179,18.273,18.086,18.523,18.516,17.623,16.676,15.694,14.237,13.226,12.622,11.802
consigne[%]:8,37.078,37.078,37.078,30.434,23.682,19.44,17.924,18.353,19.156,19.893,20.544,20.61,20.403,20.767,20.644,19.623,18.548,17.44,15.861,14.721,13.99,13.08
consigne[%]:9,40.275,40.275,40.275,33.302,26.432,22.223,20.692,21.023,21.712,22.349,22.93,22.968,22.741,23.031,22.791,21.641,20.435,19.201,17.5,16.23,15.37,14.37
consigne[%]:10,43.37,43.37,43.37,36.131,29.183,25.017,23.472,23.704,24.277,24.815,25.324,25.334,25.088,25.304,24.946,23.667,22.331,20.968,19.145,17.744,16.755,15.665
consigne[%]:11,46.343,46.343,46.343,38.91,31.926,27.813,26.255,26.388,26.847,27.284,27.723,27.704,27.439,27.581,27.104,25.697,24.228,22.738,20.792,19.261,18.143,16.961
consigne[%]:12,49.178,49.178,49.178,41.63,34.66,30.611,29.04,29.074,29.418,29.754,30.123,30.075,29.79,29.858,29.263,27.727,26.127,24.509,22.441,20.779,19.531,18.259
consigne[%]:13,51.863,51.863,51.863,44.287,37.382,33.407,31.825,31.76,31.989,32.225,32.523,32.447,32.142,32.136,31.423,29.757,28.027,26.281,24.089,22.296,20.919,19.556
consigne[%]:14,54.391,54.391,54.391,46.875,40.09,36.203,34.61,34.446,34.56,34.696,34.923,34.818,34.494,34.414,33.583,31.787,29.926,28.052,25.738,23.814,22.308,20.854
consigne[%]:15,56.763,56.763,56.763,49.397,42.786,38.998,37.395,37.133,37.131,37.167,37.323,37.19,36.846,36.692,35.743,33.818,31.825,29.824,27.386,25.332,23.696,22.151
consigne[%]:16,58.993,58.993,58.993,51.858,45.469,41.792,40.18,39.819,39.703,39.638,39.723,39.562,39.198,38.97,37.903,35.848,33.724,31.595,29.035,26.85,25.085,23.449
consigne[%]:17,61.106,61.106,61.106,54.269,48.143,44.585,42.966,42.505,42.274,42.109,42.123,41.933,41.55,41.248,40.063,37.879,35.624,33.367,30.683,28.368,26.473,24.746
consigne[%]:18,63.13,63.13,63.13,56.641,50.809,47.378,45.751,45.192,44.845,44.579,44.524,44.305,43.902,43.526,42.222,39.909,37.523,35.138,32.332,29.885,27.862,26.044
consigne[%]:19,65.096,65.096,65.096,58.988,53.47,50.17,48.536,47.878,47.416,47.05,46.924,46.677,46.254,45.803,44.382,41.94,39.422,36.91,33.98,31.403,29.25,27.341
consigne[%]:20,67.027,67.027,67.027,61.321,56.129,52.962,51.321,50.564,49.988,49.521,49.324,49.048,48.606,48.081,46.542,43.97,41.321,38.681,35.629,32.921,30.638,28.639
consigne[%]:21,68.943,68.943,68.943,63.647,58.786,55.754,54.106,53.251,52.559,51.992,51.724,51.42,50.958,50.359,48.702,46.001,43.221,40.453,37.277,34.439,32.027,29.936
consigne[%]:22,70.856,70.856,70.856,65.971,61.443,58.545,56.891,55.937,55.13,54.463,54.124,53.792,53.31,52.637,50.862,48.031,45.12,42.224,38.926,35.957,33.415,31.234
consigne[%]:23,72.777,72.777,72.777,68.299,64.101,61.337,59.676,58.623,57.701,56.934,56.525,56.163,55.662,54.915,53.022,50.062,47.019,43.995,40.574,37.475,34.804,32.531
consigne[%]:24,74.714,74.714,74.714,70.634,66.76,64.129,62.461,61.31,60.273,59.405,58.925,58.535,58.014,57.193,55.182,52.092,48.919,45.767,42.223,38.992,36.192,33.829
consigne[%]:25,76.672,76.672,76.672,72.978,69.421,66.921,65.246,63.996,62.844,61.876,61.325,60.907,60.366,59.471,57.341,54.123,50.818,47.538,43.872,40.51,37.581,35.126
consigne[%]:26,78.658,78.658,78.658,75.334,72.084,69.714,68.032,66.683,65.415,64.347,63.725,63.278,62.718,61.749,59.501,56.153,52.717,49.31,45.52,42.028,38.969,36.424
consigne[%]:27,80.671,80.671,80.671,77.702,74.749,72.506,70.817,69.369,67.987,66.818,66.125,65.65,65.07,64.027,61.661,58.184,54.616,51.081,47.169,43.546,40.358,37.721
consigne[%]:28,82.712,82.712,82.712,80.081,77.417,75.299,73.602,72.055,70.558,69.289,68.526,68.022,67.422,66.305,63.821,60.214,56.516,52.853,48.817,45.064,41.746,39.019
consigne[%]:29,84.775,84.775,84.775,82.47,80.086,78.092,76.387,74.742,73.129,71.76,70.926,70.393,69.774,68.583,65.981,62.245,58.415,54.624,50.466,46.582,43.135,40.316
consigne[%]:30,86.856,86.856,86.856,84.867,82.757,80.884,79.172,77.428,75.7,74.23,73.326,72.765,72.127,70.861,68.141,64.275,60.314,56.396,52.114,48.099,44.523,41.614
consigne[%]:31,88.95,88.95,88.95,87.269,85.43,83.677,81.957,80.114,78.272,76.701,75.726,75.137,74.479,73.139,70.3,66.306,62.214,58.167,53.763,49.617,45.912,42.912
consigne[%]:32,91.053,91.053,91.053,89.676,88.102,86.471,84.742,82.801,80.843,79.172,78.126,77.508,76.831,75.416,72.46,68.336,64.113,59.939,55.411,51.135,47.3,44.209
